CodeInsee,CodePostal,Commune ,Latitude ,Longitude,Id
5033,5700,CHANOUSSE,5.660139229,44.36467602,249
83030,83170,CAMPS-LA-SOURCE,6.121284188,43.37251201,250
5066,5140,LA HAUTE-BEAUME,5.628457038,44.56867884,251
5118,5300,RIBIERS,5.843422313,44.22079102,252
84075,84570,METHAMIS,5.252999302,44.01263673,253
5178,5300,VENTAVON,5.888453746,44.38566564,254
84077,84330,MODENE,5.127870692,44.10578119,255
6051,6260,LA CROIX-SUR-ROUDOULE,6.870199116,44.00030967,256
5097,5700,ORPIERRE,5.706186076,44.31469338,257
83046,83570,COTIGNAC,6.14490029,43.52337571,258
5115,5190,REMOLLON,6.159776579,44.47161852,259
83078,83630,MOISSAC-BELLEVUE,6.167025033,43.64719028,260
83137,83000/83100/83200,TOULON,5.932396342,43.13615897,261
4120,4530,MEYRONNES,6.811147027,44.47306423,262
13097,13310,SAINT-MARTIN-DE-CRAU,4.857014756,43.61192146,263
84044,84340,ENTRECHAUX,5.133324904,44.22247308,264
5169,5150,SORBIERS,5.573253246,44.36253871,265
4151,4300,PIERRERUE,5.836018731,43.96233316,266
84082,84570,MORMOIRON,5.190927012,44.07000585,267
83008,83600,BAGNOLS-EN-FORET,6.708501061,43.5330955,268
4198,4340,SAINT-VINCENT-LES-FORTS,6.368879607,44.43741627,269
4164,4230,REVEST-SAINT-MARTIN,5.822986213,44.01984828,270
4183,4170,SAINT-JULIEN-DU-VERDON,6.546059005,43.90976261,271
4090,4240,LE FUGERET,6.665607471,44.01450008,272
84078,84430,MONDRAGON,4.724573771,44.24298439,273
5111,5200,PUY-SANIERES,6.436674189,44.55569499,274
84076,84120,MIRABEAU,5.642689691,43.7048656,275
4245,4130,VOLX,5.831539738,43.87066761,276
83007,83630,AUPS,6.221327856,43.6246327,277
5006,5120,L'ARGENTIERE-LA-BESSEE,6.472144973,44.78217327,278
4200,4290,SALIGNAC,5.98824786,44.15716811,279
83064,83136,GAREOULT,6.04087626,43.34032713,280
13008,13121,AURONS,5.149036007,43.67151256,281
13023,13600,CEYRESTE,5.636364733,43.22385015,282
84114,84220,SAINT-PANTALEON,5.216532897,43.87788041,283
4021,4380,BARRAS,6.098502128,44.10065756,284
84045,84110,FAUCON,5.142184879,44.25242207,285
5141,5500,SAINT-EUSEBE-EN-CHAMPSAUR,6.036466086,44.72242691,286
83098,83220,LE PRADET,6.028440155,43.09940598,287
83102,83630,REGUSSE,6.118145726,43.6676979,288
13036,13630,EYRAGUES,4.842895294,43.84304663,289
13040,13710,FUVEAU,5.553057472,43.45949485,290
84040,84110,CRESTET,5.08597487,44.20975191,291
83043,83610,COLLOBRIERES,6.340321846,43.24141482,292
13215,13015,MARSEILLE-15E--ARRONDISSEMENT,5.363407897,43.35879475,293
5016,5700,LA BATIE-MONTSALEON,5.749033046,44.455945,294
5121,5190,ROCHEBRUNE,6.192493465,44.45225036,295
4081,4800,ESPARRON-DE-VERDON,5.988916392,43.74382503,296
6018,6410,BIOT,7.083186129,43.62765581,297
83081,83440,MONTAUROUX,6.789859953,43.59901011,298
84133,84240,LA TOUR-D'AIGUES,5.567346641,43.72148352,299
83145,83670,VARAGES,5.944410997,43.59573325,300
4145,4200,PEIPIN,5.943714738,44.14130265,301
6087,6910,LES MUJOULS,6.859122794,43.87198477,302
83068,83310,GRIMAUD,6.533032241,43.28202825,303
6085,6250,MOUGINS,7.001294449,43.59614106,304
83079,83310,LA MOLE,6.476566439,43.21592063,305
83118,83700/83530,SAINT-RAPHAEL,6.847342104,43.45746254,306
83070,83980,LE LAVANDOU,6.412312779,43.1656103,307
5028,5400,CHABESTAN,5.783053196,44.47757559,308
6144,6420,LA TOUR,7.199949146,43.96268773,309
4116,4190,LES MEES,5.966017556,43.99447674,310
6129,6420,SAINT-SAUVEUR-SUR-TINEE,7.11814486,44.12106766,311
83075,83340,LES MAYONS,6.359961727,43.30691019,312
13054,13700,MARIGNANE,5.212219045,43.41720684,313
4152,4860,PIERREVERT,5.722738217,43.80650506,314
84097,84600,RICHERENCHES,4.903864898,44.35581331,315
5051,5700,ETOILE-SAINT-CYRICE,5.643777615,44.32097089,316
5002,5250,AGNIERES-EN-DEVOLUY,5.864643337,44.68267178,317
83080,83440,MONS,6.70893258,43.69894665,318
5181,5480,VILLAR-D'ARENE,6.364284546,44.99972177,319
4127,4600,MONTFORT,5.952860936,44.05917099,320
4186,4500,SAINT-LAURENT-DU-VERDON,6.068595388,43.72161722,321
6052,6910,CUEBRIS,7.004487943,43.88921258,322
84049,84190,GIGONDAS,5.012318718,44.16609833,323
13115,13116,VERNEGUES,5.188255265,43.68413944,324
4134,4250,LA MOTTE-DU-CAIRE,6.030526693,44.34087057,325
5096,5170,ORCIERES,6.348975278,44.68409828,326
83009,83150,BANDOL,5.747893584,43.14735445,327
4118,4250,MELVE,5.992911021,44.35636981,328
83112,83270,SAINT-CYR-SUR-MER,5.708326037,43.17203552,329
13005,13400,AUBAGNE,5.563312735,43.29348438,330
6056,6470,ENTRAUNES,6.76292204,44.21469606,331
6014,6390,BENDEJUN,7.284471306,43.83032695,332
84096,84110,RASTEAU,4.980472682,44.23228596,333
83035,83330,LE CASTELLET,5.765601084,43.22766749,334
13050,13410,LAMBESC,5.251914469,43.66152177,335
6096,6260,PIERLAS,7.016975867,44.03467608,336
84150,84820,VISAN,4.944301781,44.32680065,337
84130,84190,SUZETTE,5.061940895,44.17171965,338
83004,83460,LES ARCS,6.489702212,43.45098821,339
13111,13126,VAUVENARGUES,5.613241037,43.5590116,340
83014,83630,BAUDINARD-SUR-VERDON,6.133527576,43.71380384,341
6083,6500,MENTON,7.493656124,43.79082337,342
13011,13520,LES BAUX-DE-PROVENCE,4.802181625,43.74580873,343
4172,4500,ROUMOULES,6.148647033,43.82104161,344
13046,13850,GREASQUE,5.546851092,43.42620297,345
4075,4200,ENTREPIERRES,6.022241242,44.19565372,346
6010,6620,LE BAR-SUR-LOUP,6.962727791,43.69929431,347
4079,4160,L'ESCALE,6.034554945,44.08100586,348
5069,5300,LAGRAND,5.741945256,44.3375165,349
83152,83820,RAYOL-CANADEL-SUR-MER,6.474774783,43.16429734,350
84149,84150,VIOLES,4.951382296,44.17671002,351
83010,83840,BARGEME,6.570867323,43.73013627,352
4053,4200,CHATEAUNEUF-VAL-SAINT-DONAT,5.930546831,44.09545342,353
4031,4270,BRAS-D'ASSE,6.126497725,43.92632572,354
4124,4500,MONTAGNAC-MONTPEZAT,6.094548059,43.76652507,355
83049,83390,CUERS,6.068563505,43.24116455,356
6012,6240,BEAUSOLEIL,7.422221546,43.74772438,357
13029,13250,CORNILLON-CONFOUX,5.076595752,43.57834007,358
83150,83560,VINON-SUR-VERDON,5.807476059,43.7224278,359
83146,83560,LA VERDIERE,5.952322759,43.64610992,360
4219,4170,THORAME-HAUTE,6.601287415,44.0855015,361
83002,83630,AIGUINES,6.304394299,43.72843695,362
5050,5190,ESPINASSES,6.232713481,44.49317861,363
