CodeInsee,Name,Longitude,Latitude,Id
84037,CHATEAUNEUF-DU-PAPE,44.0595884,4.827284356,233
6078,MALAUSSENE,43.91532326,7.141120635,234
83005,ARTIGNOSC-SUR-VERDON,43.69407677,6.107621594,235
4077,ENTREVENNES,43.93789727,6.033809031,236
5168,SIGOYER,44.48023337,5.969517926,237
5143,SAINT-GENIS,44.3808485,5.796311969,238
83104,RIANS,43.60550238,5.741325238,239
83063,LAGARDE-FREINET,43.32341603,6.466937868,240
13089,SAINT-ANDIOL,43.83075754,4.950273589,241
5149,SAINT-LEGER-LES-MELEZES,44.6468761,6.211718671,242
83127,SIGNES,43.27764075,5.857139622,243
13025,CHATEAUNEUF-LE-ROUGE,43.49126597,5.56821682,244
13048,JOUQUES,43.63341378,5.656757963,245
6116,SAINT-AUBAN,43.83097901,6.740065061,246
5158,LESAIX,44.46384783,5.833816167,247
84115,SAINT-PIERRE-DE-VASSOLS,44.0949073,5.144364017,248
5033,CHANOUSSE,44.36467602,5.660139229,249
83030,CAMPS-LA-SOURCE,43.37251201,6.121284188,250
5066,LAHAUTE-BEAUME,44.56867884,5.628457038,251
5118,RIBIERS,44.22079102,5.843422313,252
84075,METHAMIS,44.01263673,5.252999302,253
5178,VENTAVON,44.38566564,5.888453746,254
84077,MODENE,44.10578119,5.127870692,255
6051,LACROIX-SUR-ROUDOULE,44.00030967,6.870199116,256
5097,ORPIERRE,44.31469338,5.706186076,257
83046,COTIGNAC,43.52337571,6.14490029,258
5115,REMOLLON,44.47161852,6.159776579,259
83078,MOISSAC-BELLEVUE,43.64719028,6.167025033,260
83137,TOULON,43.13615897,5.932396342,261
4120,MEYRONNES,44.47306423,6.811147027,262
13097,SAINT-MARTIN-DE-CRAU,43.61192146,4.857014756,263
84044,ENTRECHAUX,44.22247308,5.133324904,264
5169,SORBIERS,44.36253871,5.573253246,265
4151,PIERRERUE,43.96233316,5.836018731,266
84082,MORMOIRON,44.07000585,5.190927012,267
83008,BAGNOLS-EN-FORET,43.5330955,6.708501061,268
4198,SAINT-VINCENT-LES-FORTS,44.43741627,6.368879607,269
4164,REVEST-SAINT-MARTIN,44.01984828,5.822986213,270
4183,SAINT-JULIEN-DU-VERDON,43.90976261,6.546059005,271
4090,LEFUGERET,44.01450008,6.665607471,272
84078,MONDRAGON,44.24298439,4.724573771,273
5111,PUY-SANIERES,44.55569499,6.436674189,274
